,Title,Year,Runtime,Genre,Director,Writer,Actor,MPAARating,Description,numUserRatings,numCriticRatings,numIMDBRatings,IMDBRating
33,Psycho,1960,109 min,Horror,Alfred Hitchcock,Joseph Stefano (screenplay),Anthony Perkins,R,"A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","1,036",290,"419,740",8.5
34,City Lights,1931,87 min,Comedy,Charles Chaplin,Charles Chaplin,Charles Chaplin,Passed,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",218,138,"107,453",8.6
35,Raiders of the Lost Ark,1981,115 min,Action,Steven Spielberg,Lawrence Kasdan (screenplay),Harrison Ford,PG,Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.,770,234,"657,390",8.5
36,The Intouchables,2011,112 min,Biography,Olivier Nakache,Olivier Nakache,François Cluzet,Rated R for language and some drug use,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",367,309,"499,129",8.6
37,Modern Times,1936,87 min,Comedy,Charles Chaplin,Charles Chaplin (as Charlie Chaplin),Charles Chaplin,G,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,212,120,"142,009",8.6
38,The Green Mile,1999,189 min,Crime,Frank Darabont,Stephen King (novel),Tom Hanks,"Rated R for violence, language and some sex-related material","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","1,376",185,"777,159",8.5
39,Rear Window,1954,112 min,Mystery,Alfred Hitchcock,John Michael Hayes (screenplay),James Stewart,Approved,A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.,633,178,"314,190",8.5
40,Terminator 2: Judgment Day,1991,137 min,Action,James Cameron,James Cameron,Arnold Schwarzenegger,"Rated R for strong sci-fi action and violence, and for language","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her young son, John Connor, from a more advanced cyborg, made out of liquid metal.",981,209,"740,733",8.5
41,The Departed,2006,151 min,Crime,Martin Scorsese,William Monahan (screenplay),Leonardo DiCaprio,"Rated R for strong brutal violence, pervasive language, some strong sexual content and drug material",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"2,056",352,"868,101",8.5
42,The Pianist,2002,150 min,Biography,Roman Polanski,Ronald Harwood (screenplay),Adrien Brody,Rated R for violence and brief strong language,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,760,193,"494,701",8.5
43,Back to the Future,1985,116 min,Adventure,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,PG,"A young man is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents unite in order to save his own existence.",802,197,"727,213",8.5
44,Whiplash,2014,107 min,Drama,Damien Chazelle,Damien Chazelle,Miles Teller,Rated R for strong language including some sexual references,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,726,534,"393,300",8.5
45,Gladiator,2000,155 min,Action,Ridley Scott,David Franzoni (story),Russell Crowe,"Rated R for intense, graphic combat","When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.","2,367",265,"976,864",8.5
46,Memento,2000,113 min,Mystery,Christopher Nolan,Christopher Nolan (screenplay),Guy Pearce,"Rated R for violence, language and some drug content",A man creates a strange system to help him remember things; so he can hunt for the murderer of his wife without his short-term memory loss being an obstacle.,"2,065",274,"840,876",8.5
47,Apocalypse Now,1979,153 min,Drama,Francis Ford Coppola,John Milius,Martin Sheen,"Rated R for disturbing violent images, language, sexual content and some drug use","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.",980,261,"448,425",8.5
48,The Prestige,2006,130 min,Drama,Christopher Nolan,Jonathan Nolan (screenplay),Christian Bale,Rated PG-13 for violence and disturbing images,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,"1,099",340,"838,289",8.5
49,The Lion King,1994,89 min,Animation,Roger Allers,Irene Mecchi (screenplay),Matthew Broderick,G,Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.,652,185,"639,632",8.5
50,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,Comedy,Stanley Kubrick,Stanley Kubrick (screenplay),Peter Sellers,"Rated PG for thematic elements, some violent content, sexual humor and mild language",An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.,837,190,"340,686",8.5
51,Sunset Blvd.,1950,110 min,Drama,Billy Wilder,Charles Brackett,William Holden,Not Rated,A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.,453,189,"138,756",8.5
52,Alien,1979,117 min,Horror,Ridley Scott,Dan O'Bannon (story),Sigourney Weaver,Rated R for sci-fi violence/gore and language,"After a space merchant vessel perceives an unknown transmission as distress call, their landing on the source planet finds one of the crew attacked by a mysterious lifeform. Continuing their journey back to Earth with the attacked crew having recovered and the critter deceased, they soon realize that its life cycle has merely begun.","1,106",390,"560,269",8.5
53,The Great Dictator,1940,125 min,Comedy,Charles Chaplin,Charles Chaplin,Charles Chaplin,Approved,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,197,115,"136,613",8.5
54,The Lives of Others,2006,137 min,Drama,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mühe,Rated R for some sexuality/nudity,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",407,215,"257,892",8.5
55,Cinema Paradiso,1988,155 min,Drama,Giuseppe Tornatore,Giuseppe Tornatore (story),Philippe Noiret,Rated R for some sexuality,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",392,122,"151,331",8.5
